"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Burgenland";"Bad Tatzmannsdorf";"Zwangsarbeiterlager für ungarische Juden Bad Tatzmannsdorf";"Zwangsarbeiter. 1. 4. 1945 Erstnennung als Männerlager, aber Lagerareal noch nicht lokalisierbar";"KG Bad Tatzmannsdorf, 34007";"";"16,2298589, 47,3324521";"http://www.deutschland-ein-denkmal.de/ded/database/detailViewFromSelection?reqEntryId=3390"
"Burgenland";"Baumgarten";"Panzergraben Urbarialwald";"Arbeitsstätte von Zwangsarbeitern. Besterhaltenes Teilstück des von Zwangsarbeitern und KZ-Häftlingen etc. erbauten Panzergrabens des Südostwalles";"KG Baumgarten, 30102. Urbarialwald";"";"16,4898424, 47,7255862";""
"Burgenland";"Bruckneudorf";"Kriegsgefangenenlager/Zwangsarbeiterlager Kaisersteinbruch";"Kriegsgefangene und Zwangsarbeiter. STALAG XVII A, zuerst auch DULAG. Bereits im 1. Weltkrieg Lager";"KG Kaisersteinbruch, 32013. Uchatiusstraße";"1, 3, 116 (ehemaliges Kriegsgefangenenlazarett), 178/2 (Teil), 178/4, 181/28, 462/2, 454/1, 457/2 (Teil), 463 (?), 465/22";"16,708063, 47,989015";"Speckner 1995; Speckner 2003, 217–227"
"Burgenland";"Bruckneudorf";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiterlager. Im isolierten Hof ein „Krankenlager“?";"KG Bruckneudorf, 32003. Heidehof";"1811, 1812, 1813, 1814, 1815";"16,844895, 48,013587";"https://www.forschenunderinnern-burgenland.at/index.php/bruckneudorf"
"Burgenland";"Deutsch Schützen-Eisenberg";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl etwa 500. Am 28. März 1945 Massaker von Deutsch Schützen. Zwei ehemalige Getreidespeicher, von denen einer erst nach 2000 abgebrochen wurde";"KG Deutsch Schützen, 34012";"1222/1, 1222/5 und weitere Grundstücke?";"16.449734, 47,168631";"Lappin-Eppel 2010, 314 ff. https://www.forschenunderinnern-burgenland.at/index.php/deutsch-schuetzen"
"Burgenland";"Deutschkreutz";"Zwangsarbeiterlager für ungarische Zwangsarbeiter";"Einsatz der Häftlinge bei der Gutsverwaltung Eszterházy, bei landwirtschaftlichen Arbeiten und beim Stellungsbau, Männer und Frauen. Schaflerhof der Gutsverwaltung Eszterházy";"KG Deutschkreutz, 33003";"4223";"16,6433885, 47,5997891";"https://www.forschenunderinnern-burgenland.at/index.php/deutschkreutz"
"Burgenland";"Donnerskirchen";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. Lager im heute erhaltenen, historischen Meierhof";"KG Donnerskirchen, 30002. Hauptstraße 57";"408/1";"16,641812, 47,897148";"https://www.forschenunderinnern-burgenland.at/index.php/donnerskirchen"
"Burgenland";"Eberau";"Zwangsarbeiterlager für ungarische Juden Eberau";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl etwa 500, Erschießungen wegen Fleckfiebererkrankungen. Untergebracht in Schule, Kutscherhof und Gesindehaus";"KG Eberau, 31006";"";"16,4618757, 47,1036308";"Szita 2004, 112–113"
"Burgenland";"Eisenstadt";"Eisenstadt Landhaus";"Gestapo-Arrest, 6 Menschen ermordet, März 1945";"KG Eisenstadt, 30003. Europaplatz 1";"574";"16,529607, 47,849735";"Schubert 2002, 32–33"
"Burgenland";"Eltendorf";"Zwangsarbeiterlager für ungarische Juden Eltendorf";"Zwangsarbeiterlager. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung in der sogenannten Buchmannmühle";"KG Eltendorf, 31106";"2118";"16,2129136, 46,9913151";"Szita 2004, 116"
"Burgenland";"Frauenkirchen";"Frauenkirchen „Schlössl“";"Internierungslager. Im März 1938 wird eine unbestimmte Anzahl burgenländischer Juden interniert";"KG Frauenkirchen, 32006. Kirchenplatz 1e";"546/1";"16,9272759, 47,8371566";"Brettl 2012, 326; Lidy 2014"
"Burgenland";"Halbturn";"Umsiedlerlager Halbturn";"Umsiedlerlager. Unterbringung von „Volksdeutschen“ aus Bessarabien, Bukowina, Banat und Dobrudscha";"KG Halbturn, 32009. Im Schloß 3";"1";"16,9732858, 47,8740296";"Brettl 2012, 363"
"Burgenland";"Halbturn";"Wittmannshof";"Arbeitsstätte von Zwangsarbeitern im Gutshof, 57 Kriegsgefangene und Ostarbeiter:innen im Gutshof";"KG Halbturn, 32009. Flur Wittmannshof";"3913";"17,0226684, 47,8839213";"Brettl 2012, 232"
"Burgenland";"Hannersdorf";"Zwangsarbeiterlager für ungarische Juden Woppendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall im Pfarrstadel außerhalb der Ortschaft, Anzahl 100–200";"KG Woppendorf, 34091";"";"16,3892897, 47,2070058";"Lappin-Eppel 2010, 312–313"
"Burgenland";"Heiligenbrunn";"Zwangsarbeiterlager für ungarische Juden Heiligenbrunn";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 100–200";"KG Heiligenbrunn, 31018";"";"16,4168324, 47,0271709";""
"Burgenland";"Heiligenbrunn";"Zwangsarbeiterlager für ungarische Juden Reinersdorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall in zwei verfallenen Bauernhöfen, Anzahl 100–200. Am 27. März 1945 mehrere Morde";"KG Reinersdorf, 31040";"";"16,3891523, 47,0104046";"Lappin-Eppel 2010, 331 ff"
"Burgenland";"Heiligenbrunn";"Zwangsarbeiterlager für ungarische Juden Strem";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall im Meierhof neben altem Zollhaus östlich von Strem, aber auf dem Gebiet von Heiligenbrunn, Anzahl 100–200. Erschießung von an Fleckfieber erkrankten Gefangenen";"KG Heiligenbrunn, 31018. Heiligenbrunn 67";"52/2, 3354";"16,4144912, 47.040711";"Lappin-Eppel 2010, 326 ff. https:// www.forschenunderinnern-burgenland.at/index.php/strem"
"Burgenland";"Heiligenkreuz im Lafnitztal";"Zwangsarbeiterlager für ungarische Juden Heiligenkreuz im Lafnitztal";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 100–200";"KG Heiligenkreuz im Lafnitztal, 31109";"";"16,2583455, 46,9884973";"Eintrag in Liste der südburgenländischen Lager für ungarisch-jüdische Zwangsarbeiter"
"Burgenland";"Inzenhof";"Zwangsarbeiterlager für ungarische Juden Inzenhof";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 100–200. Bei Evakuierung Ende März 1945 15 kranke Zwangsarbeiter mit Hämmern erschlagen";"KG Inzenhof, 31020";"";"16,3142404, 47,0132745";"Lappin-Eppel 2010, 334"
"Burgenland";"Jennersdorf";"Zwangsarbeiter für ungarische Juden Jennersdorf";"Zwangsarbeiter. Ungarische Juden am Südostwall, Unterbringung in einem Meierhof";"";"";"";"Lappin 2004, 88"
"Burgenland";"Jennersdorf";"Zwangsarbeiter für ungarische Juden Jennersdorf";"Zwangsarbeiter. Ungarische Juden am Südostwall, im „Waldlager“";"";"";"";"Lappin 2004, 88"
"Burgenland";"Jennersdorf";"Zwangsarbeiterlager für ungarische Juden Grieselstein";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall in der Volksschule";"KG Grieselstein, 31107";"";"16,1193203, 46,950351";"Lappin-Eppel 2010, 344 ff"
"Burgenland";"Jennersdorf";"Zwangsarbeiterlager für ungarische Juden Jennersdorf";"Zwangsarbeiter. Ungarische Juden in einem Gasthaus in Grieselstein";"KG Grieselstein, 31107";"";"";"Lappin 2004, 88"
"Burgenland";"Jennersdorf";"Zwangsarbeiterlager für ungarische Juden Jennersdorf";"Zwangsarbeiter. Ungarische Juden am Südostwall, 1945 Internierungslager für Nazis. In ehemaliger Lederfabrik, abgebrochen 1975";"KG Jennersdorf, 31111. Raxer Straße 2";"596";"16,142749, 46,938685";"Lappin 2004, 88"
"Burgenland";"Jennersdorf";"Zwangsarbeiterlager für ungarische Juden Jennersdorf";"Zwangsarbeiter. Ungarische Juden am Südostwall, Unterbringung in der Ziegelei Schwarz, am Tafelberg?";"KG Jennersdorf oder Grieselstein";"";"";"Lappin 2004, 88"
"Burgenland";"Lackenbach";"Zwangslager für Sinti und Roma Lackenbach";"Lager für Sinti und Roma, das Lager befand sich auf dem Areal des Schaflerhofes im Bereich Schaflerhofgasse und Hasenberggasse. Weder jüdischer Friedhof noch Mahnmal gehören zum Lagerareal";"KG Lackenbach, 33025. Hasenberggasse";"723/10, 723/13, 725/2, 727/16, 727/17, 727/18, 727/19, 727/31, 727/32, 727/33, 727/34, 727/35";"";"Thurner 1984; Uslu-Pauer 2002"
"Burgenland";"Lutzmannsburg";"Ziegelei Lutzmannsburg";"Arbeitsstätte von Roma-Zwangsarbeitern in einer Ziegelei. Erhaltener Ringofen und andere Gebäude, Unterkunftsgebäude nicht bekannt";"KG Lutzmannsburg, 33033. Ziegelofen 1";"7576/1, 7576/2, 7576/3, 7576/4, 7576/5, 7576/6";"16,629512, 47,457556";"Brettl 2012, 279"
"Burgenland";"Mannersdorf am der Rabnitz";"Zwangsarbeiterlager für ungarische Juden Mannersdorf an der Rabnitz";"Zwangsarbeiter. Männer- und Frauenlager zum Arbeitseinsatz, Flussregulierung. Im Zinshof Mannersdorf? Lagerareal nicht lokalisierbar";"KG Mannersdorf an der Rabnitz, 33034";"";"16,5264647, 47,4281431";"http://www.deutschland-ein-denkmal.de/ded/database/detailView?selectDetail=Auswahl+abschicken&reqEntryId=3459&reqEntryId=3460&cat=f. ung&hasMenu=true"
"Burgenland";"Mattersburg";"Ziegelei Walbersdorf";"Arbeitsstätte von Roma-Zwangsarbeitern in der Ziegelei Walbersdorf, heute Betonwerk Koch";"KG Walbersdorf, 30120. Marzer Straße";"1630";"16,4194422, 47,7358738";"Brettl 2012, 277"
"Burgenland";"Minihof-Liebau";"Zwangsarbeiterlager für ungarische Juden Minihof-Liebau";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringungsort und Anzahl unbekannt";"KG Minihof-Liebau, 31116";"";"16,0651217, 46,8783811";"Lappin-Eppel 2010, 353 ff"
"Burgenland";"Mogersdorf";"Zwangsarbeiterlager für ungarische Juden Deutsch Minihof";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall in einer Ziegelei, Anzahl unbekannt";"KG Deutsch Minihof, 31103. Mogersdorfer Landesstraße";"";"16,2486668, 46,9616593";"Lappin-Eppel 2010, 333–334"
"Burgenland";"Mogersdorf";"Zwangsarbeiterlager für ungarische Juden Wallendorf";"Zwangsarbeiter. Ungarische Juden am Südostwall, Unterbringung In einem Gasthaus";"KG Wallendorf, 31129";"";"";"https://regiowiki.at/wiki/Liste_der_s%C3%BCdburgenl%C3%A4ndischen_Lager_f%C3%BCr_ungarisch-j%C3%BCdische_Zwangsarbeiter_w%C3%A4hrend_des_ Baus_des_S%C3%Bcdostwalls"
"Burgenland";"Mönchhof";"Zwangsarbeiterlager Mönchhof";"Kriegsgefangene und Zwangsarbeiter. Russen, eventuell auch Franzosen und Polinnen. Zwangsarbeit für Panzergräben? Unterbringung „in Bauernhöfen“, aber auch im Edmundhof, Gutshof der Heiligenkreuzer Zisterzienser";"KG Mönchhof, 32014";"5956/3, 5956/4, 5956/5, 5956/6, 5956/7, 5956/8, 5956/9, 5956/10, 5956/11, 5956/12, 5956/13, 5956/14, 5957";"16,995264, 47,904935";"https://www.brettl. at/blog/so-was-hat-keinen-sinn; www.zwangsarbeit-archiv.de"
"Burgenland";"Moschendorf";"Zwangsarbeiterlager für ungarische Juden Moschendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, im Meierhof, Anzahl etwa 100–200";"KG Moschendorf, 31029";"";"16,4776931, 47,0577983";"Lappin-Eppel 2010, 325"
"Burgenland";"Neudörfl";"Zwangsarbeiterlager für ungarische Juden Neudörfl";"Krankenlager für ungarische jüdische Zwangsarbeiter:innen im Alten- und Siechenheim beziehungsweise Infektionsspital, heute Landespflegeanstalt";"KG Neudörfl, 30110. Hauptstraße 150";"453/1";"16,280943, 47,801782";"Brettl 2012. https://www.gedenkweg.at/index. php/24-landkarte/ungarisch-juedische-zwangsarbeiter/111-neudoerfl"
"Burgenland";"Neufeld an der Leitha";"Neufeld Judenlager";"Arbeitslager für Juden, vor 1942, Lage unbekannt";"";"";"";"Gruner 2006, 124"
"Burgenland";"Neuhaus am Klausenbach";"Zwangsarbeiterlager für ungarische Juden Bonisdorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall in Schule/Schulgebäude";"KG Bonisdorf, 31101";"";"16,040646, 46,8425914";"Lappin-Eppel 2010, 353 ff"
"Burgenland";"Neuhaus am Klausenbach";"Zwangsarbeiterlager für ungarische Juden in Österreich Kalch";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl unbekannt. Unterbringung im Gasthaus Anton Wolf";"KG Kalch, 31112. Kalch 40. Lappin-Eppel 2010, 353 ff";"";"";"https://www.forschenunderinnern-burgenland.at/index.php/kalch"
"Burgenland";"Neuhaus am Klausenbach";"Zwangsarbeiterlager für ungarische Juden Neuhaus am Klausenbach";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, in einer Schule und in einem Haus, Anzahl etwa 100–200, 23. März 1945 Massaker von Neuhaus am Klausenbach mit 83 Ermordeten";"KG Neuhaus am Klausenbach, 31119. „Haus 69“. Lappin-Eppel 2010, 353 ff";"";"";"https://www.forschenunderinnernburgenland.at/index.php/neuhaus-am-klausenbach"
"Burgenland";"Neuhaus am Klausenbach";"Zwangsarbeiterlager für ungarische Juden";"Zwangsarbeiter. „Isolierstation“ für ungarische Juden. Zeltlager auf einer Wiese „im Gemeindegebiet von Krottendorf … etwa auf halbem Weg zwischen Neuhaus und Kalch“";"KG Krottendorf bei Neuhaus, 31115";"";"";"https://www.forschenunderinnern-burgenland. at/index.php/krottendorf"
"Burgenland";"Neusiedl am See";"Neusiedl STALAG 357";"Kriegsgefangene. Existierte nur drei Monate";"";"";"";"Schubert 2002, 93. http://www.geheimprojekte.at/lager.html; http://www.lexikon-der-wehrmacht.de/Gliederungen/Kriegsgefangenenlager/Stammlager.htm"
"Burgenland";"Neusiedl am See";"Zwangsarbeiterlager für ungarische Juden in Österreich Neusiedl am See";"Zwangsarbeiter. Männer, Frauen, Kinder, Einsatz in Neusiedler Ziegelei";"KG Neusiedl am See, 32016";"";"16,8482266, 47,9453594";"http://www.deutschland-ein-denkmal.de/ded/database/detailView?selectDetail=Auswahl+abschicken&reqEntryId=3473&cat=f.ung&hasMenu=true"
"Burgenland";"Nickelsdorf";"Paulahof bei Nickelsdorf";"Zwangsarbeiter. „Ostarbeiterlager“ im „Paulahof“. Eigentümer und Aufseher nach dem Einmarsch der Roten Armee erschossen";"KG Nickelsdorf, 32017";"2544/3";"17,0053496, 47,9387276";"Brettl 2012, 237"
"Burgenland";"Oggau am Neusiedler See";"Zwangsarbeiterlager für ungarische Juden Oggau";"Zwangsarbeiter. Zwangsarbeiterlager, Opferstätte. Arbeit für Männer im Steinbergwerk";"KG Oggau, 30015. Flur Steinriegel?";"";"16,6928472, 47,8650475";"http://www.deutschland-ein-denkmal.de/ded/database/detailView?selectDetail=Auswahl+abschicken&reqEntryId=3480&cat=f.ung&hasMenu=true"
"Burgenland";"Oggau am Neusiedler See";"Zwangsarbeiterlager Oggau";"Kriegsgefangene (und Zwangsarbeiter?). Unterbringung für Arbeitseinsatz in einer Volksschule";"KG Oggau, 30015";"1871/4";"16,6588757, 47,8313386";"Artinger 2012, 119"
"Burgenland";"Oggau am Neusiedler See";"Zwangsarbeiterlager Oggau";"Kriegsgefangene (und Zwangsarbeiter?). Unterbringung für Arbeitseinsatz, Antonigasse 2";"KG Oggau, 30015";"399/8";"16,6675916, 47,8314165";"Artinger 2012, 119"
"Burgenland";"Oggau am Neusiedler See";"Zwangsarbeiterlager Oggau";"Kriegsgefangene (und Zwangsarbeiter?). Unterbringung für Arbeitseinsatz, Antonigasse 4";"KG Oggau, 30015";"399/7";"16,6676754, 47,8312663";"Artinger 2012, 119"
"Burgenland";"Oggau am Neusiedler See";"Zwangsarbeiterlager Oggau";"Kriegsgefangene (und Zwangsarbeiter?). Unterbringung für Arbeitseinsatz, Antonigasse 6";"KG Oggau, 30015";"399/6";"16,6677309, 47,8310996";"Artinger 2012, 119. Parndorf. Lager für polnische Zwangsarbeiter Parndorf? Zwangsarbeiter, französische und polnische Kriegsgefangene? Mögl. Zusammenhang zu Parndorfer Flugfeld? Barackenlager des Flugfelds als mögliche Unterkunft auch der Zwangsarbeiter? KG Parndorf, 32020. Am Sportplatz. 1785/62, 1785/112, 1785/319, 1785/764, 1785/766. 16,861956, 47,99288. https://unterirdisch.de/index.php?threads/flugplatz-parndorf.9883"
"Burgenland";"Pinkafeld";"Pinkafeld Sammellager";"Zigeuner-Sammellager, Baracken vorher für Umsiedler, heute die Burgenland- Siedlung im Norden der Gemeinde, genaue Lage unbekannt";"KG Pinkafeld, 34058. Wiener Straße";"";"";"Schubert 2002, 97. www.pinkafeld.gv.at"
"Burgenland";"Potzneusiedl";"Lager für jüdische Zwangsarbeiter Potzneusiedl";"Zwangsarbeiter";"KG Potzneusiedl, 32022";"";"16,9496145, 48,0444737";"Eintrag in „Lager auf Wiener Boden 1942–1945“"
"Burgenland";"Purbach am Neusiedler See";"Zwangsarbeiterlager für ungarische Juden Purbach/Donnerskirchen";"Zwangsarbeiter. Sammellager für ungarische Juden im Burgenland „Abschnitt Mitte – Südostwall“. „Krankenlager“ im ehemaligem Meierhof, heute abgebrochen. Massengrab ca. 100 m im NO des Meierhofs exhumiert 1949";"KG Purbach am Neusiedlersee, 30017";"6956, 6957, 6958, 6959/1";"16,431302, 47,904735";"Szita 2003. https://www.forschenunderinnern-burgenland.at/index.php/purbach"
"Burgenland";"Rechnitz";"Zwangsarbeiterlager für ungarische Juden Rechnitz";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 500–800, Unterbringung unter anderem in der ehemaligen Synagoge";"KG Rechnitz, 34062. Badergasse 2";"46";"16.440932, 47,306483";"Lappin-Eppel 2010, 291; Bundesdenkmalamt, Projekt Jüdische Kultstätten 2019"
"Burgenland";"Rechnitz";"Zwangsarbeiterlager für ungarische Juden Rechnitz";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 500–800, Unterbringung unter anderem im „Schwarzmeierhof“. Dieser ist ein alter Hof, heute vollständig erneuert, unmittelbar neben dem Kreuzstadl, zu dem auch der Kreuzstadl historisch gehörte";"KG Rechnitz, 34062. Bahnhofstraße 55–57";"8818, 8819/42, 8819/56 (Westteil)";"16,4416197, 47.295778";"Lappin-Eppel 2010, 291. https://maps.arcanum.com/de"
"Burgenland";"Rechnitz";"Zwangsarbeiterlager für ungarische Juden Rechnitz";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall, Anzahl 500–800, Unterbringung unter anderem in Wirtschaftsräumen der Schloss Rechnitz. Das Schloss wurde ab 1945 zerstört beziehungsweise stark verändert";"KG Rechnitz, 34062. Schlosshof. Lappin-Eppel 2010, 291";"";"";"https://de.wikipedia.org/wiki/Schloss_Rechnitz"
"Burgenland";"Riedlingsdorf";"Riedlingsdorf Zwangsarbeiterlager";"Zwangsarbeiter für ungarische Juden. Lage unklar";"";"";"";"Schubert 2002, 103"
"Burgenland";"Rust";"Kriegsgefangenenlager";"Unterbringung von Kriegsgefangenen für Arbeitseinsatz in der ehemaligen Bauernschule in Rust, wohl im hinteren Parzellenbereich";"KG Rust, 30018. Hauptstraße 31? (war 1939 die Bauernschule)";"97";"16,67713, 47,801977";"Artinger 2012, 118"
"Burgenland";"Sankt Andrä am Zicksee";"Erdeihof bei St";"Andrä. Zwangsarbeiterlager. „Ostarbeiter erschießen nach dem Einmarsch der Roten Armee Eigentümer und Aufseher“ im Erdeihof in St. Andrä";"KG St. Andrä, 32023. Erdeihof";"1911/1, 1915/4";"16,9643347, 47,7982554";"Brettl 2012, 237"
"Burgenland";"Sankt Margarethen im Burgenland";"Kriegsgefangenenlager";"Unterbringung von Kriegsgefangenen für Arbeitseinsatz im Pfarrhof St. Margarethen";"KG St. Margarethen, 30020";"217";"16,6072547, 47,8037263";"Rafetseder 2014, 189"
"Burgenland";"Sankt Margarethen im Burgenland";"Zwangsarbeiterlager für ungarische Juden";"Lage unklar";"";"";"";"Schubert 2002, 110. https://www.forschenunderinnern-burgenland.at/index.php/st-margarethen"
"Burgenland";"Sankt Martin an der Raab";"Zwangsarbeiterlager für ungarische Juden Neumarkt an der Raab";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall. Ort der Unterbringung unbekannt, Anzahl etwa 200";"KG Neumarkt an der Raab, 31120";"";"16,1568676, 46,9274288";"Lappin-Eppel 2010, 352"
"Burgenland";"Schachendorf";"Zwangsarbeiterlager für ungarische Juden Schachendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung unter anderem im Magazin des Kastells, Gesamtanzahl 1500–2000, mindestens 60 Tote durch Fleckfieber";"KG Schachendorf, 34071";"566";"16,4416626, 47,260107";"Lappin-Eppel 2010, 306 ff"
"Burgenland";"Schachendorf";"Zwangsarbeiterlager für ungarische Juden Schachendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung in den Wirtschaftsräumlichkeiten eines Meierhofes, Gesamtanzahl 1500–2000, mindestens 60 Tote durch Fleckfieber";"KG Schachendorf, 34071";"567";"16,4393006, 47,2603787";"Lappin-Eppel 2010, 306 ff"
"Burgenland";"Schachendorf";"Zwangsarbeiterlager für ungarische Juden Schachendorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung unter anderem in der Volksschule, Gesamtanzahl im Ort 1500–2000, mindestens 60 Tote durch Fleckfieber. Die Volksschule befand sich bis 1974 „am Fuß des Kirchenhügels … am Schachendorfer Bach“. Die angegebene Parzelle ist das Ergebnis der Auswertung eines Fotos in der Bezirkszeitung";"KG Schachendorf, 34071";"137?";"16,434729, 47,265929";"Lappin-Eppel 2010, 306 ff. https://www.meinbezirk.at/oberwart/c-lokales/einst-und-jetzt-alte-volksschule-schachendorf_ a2655959#gallery=null"
"Burgenland";"Schandorf";"Zwangsarbeiterlager für ungarische Juden Schandorf";"„Lazarett“ für ungarische Juden. Gesamtanzahl im Ort 100–200. Lazarett in Schandorf 86, ein altes, mehrteiliges Haus mit einem langen Grundstück im Ortskern";"KG Schandorf, 34072. Schandorf 86";"166, 167";"16,42337, 47,242908";"Lappin-Eppel 2010, 312"
"Burgenland";"Schandorf";"Zwangsarbeiterlager für ungarische Juden Schandorf";"Zwangsarbeiter. Unterbringung von ungarischjüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung unter anderem in der Volksschule, Gesamtanzahl 100–200, Lage unbekannt";"KG Schandorf, 34072. Lappin-Eppel 2010, 312";"";"";""
"Burgenland";"Schandorf";"Zwangsarbeiterlager für ungarische Juden Schandorf";"Zwangsarbeiter. Unterbringung von ungarisch-jüdischen Zwangsarbeitern beim Bau Südostwall, Unterbringung unter anderem im Gasthof Veraszto, Gesamtanzahl 100–200, Lage unbekannt";"KG Schandorf, 34072. Lappin-Eppel 2010, 312";"";"";""
"Burgenland";"Schattendorf";"Panzergraben Urbarialwald";"Arbeitsstätte, ein erhaltenes Teilstück des von Zwangsarbeitern, KZ-Häftlingen etc. erbauten Panzergrabens des Südostwalls. Der Panzergraben liegt auf dem bewaldeten Krippelberg (Kote 349) zwischen Baumgarten im Burgenland und Schattendorf";"KG Schattendorf, 30116. Urbarialwald";"1424/1";"16,4898424, 47,7255862";""
"Burgenland";"Schattendorf";"Zwangsarbeiterlager für ungarische Juden Schattendorf";"Zwangsarbeiter. Unterbringung von Zwangsarbeitern in „Gasthäusern, der Volksschule und einem Gutshof“";"KG Schattendorf, 30116. Standorte: Fabrikgasse 35 (ehemaliges Gasthaus Bierbaum), Hauptstraße 154 (ehemaliges Gasthaus Tscharmann), Mattersburgerstraße 2 (Gasthaus Grafl), Kirchengasse 9 (Volksschule)";"2226/3 (ehemaliges Gasthaus Bierbaum), 155 (ehemaliges Gasthaus Tscharmann), 487/2 (Gasthof Grafl), 221 (Volksschule)";"16,513217, 47.709568";"(= Volkschule). Brettl 2012, 373. https://www.forschenunderinnern-burgenland.at/index.php/schattendorf"
"Burgenland";"Siegendorf";"Lagerfriedhof";"Gräber ungarischer Juden. Mahnmal. Am Hügel „Skradnji Brig“, ca. 1,5 km vom Ort, genauer Standort des Friedhofs heute unklar";"KG Siegendorf, 30022";"";"";"https://www.forschenunderinnernburgenland.at/index.php/siegendorf/siegendorf-massengraeber-am-skradnji-brig"
"Burgenland";"Siegendorf";"Zwangsarbeiterlager für ungarische Juden Siegendorf";"Unterbringung von etwa 1100 Häftlingen am Gelände der ehemaligen Zuckerfabrik, etwa 400 davon kamen ums Leben, 28./29. März 1945. Danach Todesmarsch nach Mauthausen";"KG Siegendorf, 30022. Fabrikstraße";"1574, 1575, 1588/2";"16,5301929, 47,7701089";"Lappin-Eppel 2010, 326 ff"
"Burgenland";"Stadtschlaining";"Antimonwerk Schlaining";"Kriegsgefangene und Zwangsarbeiter. Arbeitsstätte hunderter italienischer Kriegsgefangener und Ostarbeiter:innen im Antimonwerk. Lager der Unterkunft unklar";"KG Stadtschlaining, 34078. Goberlinger Landesstraße";"";"16,274734, 47,333776";"Brettl 2012, 232"
"Burgenland";"Steinberg-Dörfl";"Lager Steinberg";"Kriegsgefangene und Zwangsarbeiter. Kriegsgefangenenlager, später Lager für ungarische Juden im „Kastell Dörfl“. Zuerst Kriegsgefangene, später ungarische Juden. Das Schloss wurde Anfang der 1960er-Jahre abgebrochen, heute Bodendenkmal";"KG Dörfl, 33004. Bründlweg";"1";"16,470581, 47,486943";"Rafetseder 2014, 111; Tillhof o. J"
"Burgenland";"Steinberg-Dörfl";"Umsiedlerlager Steinberg";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden am";"";"";"";""
"Burgenland";"Südostwall";"Unterbringung in der Alten Volkschule, neben dem Pfarrhof";"";"KG Steinberg, 33055. Kirchengasse";"";"";"Rafetseder 2014, 111; Tillhof o. J"
"Burgenland";"Wallern im Burgenland";"Hanffabrik Wallern";"Zwangsarbeit. Einsatz und Unterbringung von polnischen und ukrainischen Zwangsarbeiter:innen in der Hanffabrik Wallern. Unterbringung in Holzbaracken. Fabrik wurde kurz nach dem Kriegsende abgerissen. Am nördlichen Ortsrand von Wallern im Burgenland an der Straße nach St. Andrä";"KG Wallern im Burgenland, 32025";"";"16,9300018, 47,735591";"Brettl 2012, 236"
