"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Wien";"4. Bezirk";"Wien Weyringergasse 7";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Wieden, 01011. Weyringergasse 7";"260/15";"16,379549, 48,188688";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"4. Bezirk";"Wien Wiedner Hauptstraße 180";"Zwangsarbeiter. Zwangsarbeiterlager für niederländische Zwangsarbeiter";"KG Wieden, 01011. Wiedner Hauptstraße 18 (?)";"707/2";"16,367087, 48,19688";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"4. Bezirk";"Wien Wiedner Hauptstraße Hotel Triest";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter";"KG Wieden, 01011. Wiedner Hauptstraße 12";"703";"16,367295, 48,197513";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Blechturmgasse 27";"Zwangsarbeiter. INHA Lager für russische Zwangsarbeiter";"KG Margarethen, 01008. Blechturmgasse 27";"1512/29";"16,368167, 48,184794";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Blechturmgasse 55";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter";"KG Margarethen, 01008. Blechturmgasse 35 (?)";"1507/1";"16,364748, 48,187778";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Castelligasse 24 (auch Kastelligasse 24)";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Castelligasse 24";"238/2";"16,357128, 48,188923";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Castelligasse 25 (auch Kastelligasse 25)";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen, Abteilung G30 Stadtentwässerung";"KG Margarethen, 01008. Castelligasse 25";"879/3";"16,356444, 48,188336";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Einsiedlergasse 27";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Einsiedlergasse 27";"789/7";"16,348667, 48,186073";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Embelgasse 8";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Embelgasse 2–8";"729/7";"16,353235, 48,182032";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Johannagasse 2 „Nordpol“";"Zwangsarbeiter. Zwangsarbeiterlager für russische, griechische und jugoslawische Zwangsarbeiter";"KG Margarethen, 01008. Johannagasse 2";"601";"16,349435, 48,182398";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Kettenbrückengasse 21";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Kettenbrückengasse 21";"1320";"16,359586, 48,196184";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Kohlgasse 39";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Kohlgasse 39";"806/1";"16,351853, 48,186465";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretengürtel 4";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter:innen";"KG Margarethen, 01008. Margaretengürtel 4";"1031/21";"16,36753, 48,184287";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretengürtel 6";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Margarethen, 01008. Margaretengürtel 6";"1031/21";"16,36753, 48,184287";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretengürtel 70";"Zwangsarbeiter. Zwangsarbeiterlager für griechische und jugoslawische Zwangsarbeiter:innen";"KG Margarethen, 01008. Margaretengürtel 70";"720/24";"16,355862, 48,180314";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretengürtel 74";"Zwangsarbeiter. Zwangsarbeiterlager für griechische und jugoslawische Zwangsarbeiter:innen, INHA Lager";"KG Margarethen, 01008. Margaretengürtel 74";"720/38";"16,353955, 48,180441";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretengürtel INHA";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter, INHA Lager";"KG Margarethen, 01008. Margaretengürtel";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Margaretenplatz 4";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter";"KG Margarethen, 01008. Margaretenplatz 4";"133/7";"16,357891, 48,191272";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Rüdigergasse 6";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Margarethen, 01008. Rüdigergasse 6";"1216/1, 1216/2";"16,357469, 48,19357469";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Schlossgasse 4";"Zwangsarbeiter. Zwangsarbeiterlager für polnische Zwangsarbeiter:innen";"KG Margarethen, 01008. Schlossgasse 4";"162/1";"16,360441, 48,189914";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Siebenbrunnengasse 35–37";"Zwangsarbeiter. Zwangsarbeiterlager für türkische und griechische Zwangsarbeiter:innen";"KG Margarethen, 01008. Siebenbrunnengasse 35";"862";"16,356571, 48,18619";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Stolberggasse 42";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter";"KG Margarethen, 01008. Stolberggasse 42";"852/1, 852/2, 852/3, 852/4";"16,357103, 48,184705";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"5. Bezirk";"Wien Vogelsanggasse 34A";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter";"KG Margarethen, 01008. Vogelsanggasse 34A";"850/4";"16,357231, 48,18409";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Barnabitengasse";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiterinnen";"KG Mariahilf, 01009. Barnabitengasse 9A";"10/2";"16,362858, 48,198708";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Bürgerspitalgasse";"Zwangsarbeiter. Zwangsarbeiterlager für russische und italienische Zwangsarbeiter:innen";"KG Mariahilf, 01009. Bürgerspitalgasse 7";"1237";"16,342322, 48,198708";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
